id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tag,instrumentalness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,euphoric,0.05,0.08
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020,nostalgic,0.82,0.03
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010,aggressive,0.12,0.06
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020,nostalgic,0.88,0.02
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020,aggressive,0.04,0.10
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,41,2010,dreamy,0.95,0.01
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,54,1990,warm,0.70,0.04
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,69,2010,nostalgic,0.55,0.05
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,61,2020,calm,0.80,0.02
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2020,euphoric,0.08,0.07
11,Bass Drop Nation,DJ Flux,edm,euphoric,0.96,128,0.88,0.95,0.04,88,2020,euphoric,0.35,0.09
12,Golden Hour Waltz,Clara Strings,classical,peaceful,0.22,72,0.72,0.30,0.97,47,1980,dreamy,0.98,0.01
13,Street Cipher,MC Verse,hip-hop,confident,0.78,95,0.65,0.82,0.15,81,2020,aggressive,0.02,0.28
14,Dusty Roads,Willow Creek,country,nostalgic,0.55,108,0.68,0.58,0.72,63,2000,warm,0.25,0.05
15,Island Breeze,King Tides,reggae,relaxed,0.48,88,0.80,0.70,0.55,59,1990,warm,0.18,0.06
16,Iron Forge,Black Anvil,metal,aggressive,0.97,160,0.30,0.45,0.03,70,2010,aggressive,0.15,0.08
17,Fireside Tale,Fern Hollow,folk,warm,0.33,95,0.74,0.48,0.91,52,2000,nostalgic,0.40,0.04
18,Velvet Night,Soul Harbor,r&b,sensual,0.52,82,0.62,0.68,0.45,76,2020,dreamy,0.10,0.12
